call_number_id,facets
Lewis E M 16:17,12th century|Illustration|Illumination|Fragment
Lewis E M 16:18,12th century|Germany|German|Illustration|Illumination|Biblical|Bible|Commentary|Fragment
Lewis E M 16:19,12th century|Germany|German|Illustration|Illumination|Biblical|Bible|Commentary|Fragment
Lewis E M 16:20,12th century|English|England|Illustration|Illumination|Fragment
Lewis E M 16:21,12th century|English|England|Illustration|Illumination|Fragment
Lewis E M 16:22,14th century|Antiphonary|Germany|German|Illustration|Illumination|Fragment
Lewis E M 16:23,14th century|Italy|Italian|Song book|Musical notation|Illustration|Illumination|Fragment
Lewis E M 16:24-25,15th century|Song book|Musical notation|Germany|German|Illustration|Illumination|Fragment
Lewis E M 16:26-27,15th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 16:28-29,15th century|Germany|German|Historiated initial|Antiphonary|Liturgy|Fragment
Lewis E M 16:30,16th century|Antiphonary|Liturgy|Spain|Portugal|Spanish|Portuguese|Illustration|Illumination|Fragment
Lewis E M 16:31,15th century|Song book|Musical notation|Czech Republic|Czech|Illustration|Illumination|Fragment
Lewis E M 16:32,15th century|Germany|German|Illustration|Illumination|Gospels|Fragment
Lewis E M 16:33,13th century|14th century|Historiated initial|English|England|Fragment
Lewis E M 17:1,13th century|Germany|German|Psalter|Bible|Biblical|Illustration|Illumination|Fragment
Lewis E M 17:2,13th century|Antiphonary|Liturgy|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:2A,15th century|Antiphonary|Liturgy|Germany|German|Historiated initial|Fragment
Lewis E M 17:3,15th century|Italy|Italian|Antiphonary|Liturgy|Historiated initial|Fragment
Lewis E M 17:3A,15th century|Germany|German|Antiphonary|Liturgy|Historiated initial|Fragment
Lewis E M 17:4,15th century|Illustration|Illumination|Germany|German|Fragment
Lewis E M 17:5,15th century|16th century|Germany|German|Illustration|Devotion|Fragment
Lewis E M 17:6,Illustration|Illumination|Biblical|Germany|German|Fragment
Lewis E M 17:7,16th century|Germany|German|Antiphonary|Liturgy|Historiated initial|Fragment
Lewis E M 17:8,17th century|Illustration|Illumination|Germany|German|Fragment
Lewis E M 17:9,18th century|Heraldry|Literature -- Poetry|Germany|German|Fragment
Lewis E M 17:10,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:11,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:12,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:13,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:14,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:15,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:16,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:17,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:18,18th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 17:19,18th century|Germany|German|Illustration|Illumination|Fragment
