folder_base,image files
lewis_e_m_016_022,mcai160221.tif|mcai160222.tif
lewis_e_m_016_023,mcai160231.tif|mcai160232.tif
lewis_e_m_016_024-025,mcai160241.tif|mcai160242.tif|mcai160251.tif|mcai160252.tif
lewis_e_m_016_026-027,mcai160263.tif|mcai160264.tif|mcai160265.tif|mcai160266.tif|mcai160273.tif|mcai160274.tif|mcai160275.tif|mcai160276.tif
lewis_e_m_016_028-029,mcai160281.tif|mcai160282.tif|mcai160291.tif|mcai160292.tif
lewis_e_m_016_030,mcai160301.tif|mcai160302.tif
lewis_e_m_016_031,mcai160311.tif|mcai160312.tif
lewis_e_m_016_032,mcai160321.tif|mcai160322.tif
lewis_e_m_016_033,mcai160331.tif|mcai160332.tif
lewis_e_m_017_001,mcai170011.tif|mcai170012.tif
lewis_e_m_017_002,mcai170021.tif|mcai170022.tif
lewis_e_m_017_002a,mcai170023.tif|mcai170024.tif
lewis_e_m_017_003,mcai170031.tif|mcai170032.tif
lewis_e_m_017_003a,mcai170033.tif|mcai170034.tif
lewis_e_m_017_004,mcai170041.tif|mcai170042.tif
lewis_e_m_017_005,mcai170051.tif|mcai170052.tif
lewis_e_m_017_006,mcai170061.tif|mcai170062.tif
lewis_e_m_017_007,mcai170071.tif|mcai170072.tif
lewis_e_m_017_008,mcai170081.tif|mcai170082.tif
lewis_e_m_017_009,mcai170093.tif|mcai170094.tif|mcai170095.tif|mcai170096.tif
lewis_e_m_017_010,mcai170101.tif|mcai170102.tif
lewis_e_m_017_011,mcai170111.tif|mcai170112.tif
lewis_e_m_017_012,mcai170121.tif|mcai170122.tif
lewis_e_m_017_013,mcai170133.tif|mcai170134.tif|mcai170135.tif|mcai170136.tif
lewis_e_m_017_014,mcai170141.tif|mcai170142.tif
lewis_e_m_017_015,mcai170151.tif|mcai170152.tif
lewis_e_m_017_016,mcai170161.tif|mcai170162.tif
lewis_e_m_017_017,mcai170171.tif|mcai170172.tif
lewis_e_m_017_018,mcai170181.tif|mcai170182.tif
lewis_e_m_017_019,mcai170191.tif|mcai170192.tif
lewis_e_m_017_020,mcai170201.tif|mcai170202.tif
lewis_e_m_017_021,mcai170211.tif|mcai170212.tif
lewis_e_m_017_022,mcai170221.tif|mcai170222.tif
lewis_e_m_017_023,mcai170231.tif|mcai170232.tif
lewis_e_m_018_001-003,mcai180011.tif|mcai180012.tif|mcai180023.tif|mcai180024.tif|mcai180025.tif|mcai180026.tif|mcai180033.tif|mcai180034.tif|mcai180035.tif|mcai180036.tif
lewis_e_m_018_004,mcai180041.tif|mcai180042.tif
lewis_e_m_018_005-008,mcai180051.tif|mcai180052.tif|mcai180061.tif|mcai180062.tif|mcai180071.tif|mcai180072.tif|mcai180080.tif|mcai180081.tif|mcai180082.tif
lewis_e_m_018_009,mcai180091.tif|mcai180092.tif
lewis_e_m_018_010,mcai180101.tif|mcai180102.tif
lewis_e_m_018_011,mcai180111.tif|mcai180112.tif
lewis_e_m_019_001,mcai190011.tif|mcai190012.tif
lewis_e_m_019_002,mcai190021.tif|mcai190022.tif
lewis_e_m_019_003,mcai190031.tif|mcai190032.tif
lewis_e_m_019_004,mcai190041.tif|mcai190042.tif
lewis_e_m_019_005,mcai190051.tif|mcai190052.tif
lewis_e_m_019_006,mcai190061.tif|mcai190062.tif
lewis_e_m_019_007,mcai190071.tif|mcai190072.tif
lewis_e_m_019_008,mcai190081.tif|mcai190082.tif
lewis_e_m_019_009,mcai190091.tif|mcai190092.tif
lewis_e_m_019_010,mcai190101.tif|mcai190102.tif
lewis_e_m_019_011,mcai190111.tif|mcai190112.tif
lewis_e_m_019_012,mcai190121.tif|mcai190122.tif
lewis_e_m_019_013,mcai190131.tif|mcai190132.tif
lewis_e_m_019_014,mcai190141.tif|mcai190142.tif
lewis_e_m_019_015,mcai190151.tif|mcai190152.tif
lewis_e_m_019_016,mcai190161.tif|mcai190162.tif
lewis_e_m_019_017,mcai190171.tif|mcai190172.tif
lewis_e_m_019_018,mcai190181.tif|mcai190182.tif
lewis_e_m_019_019,mcai190191.tif|mcai190192.tif
lewis_e_m_019_020,mcai190201.tif|mcai190202.tif
lewis_e_m_019_021,mcai190211.tif|mcai190212.tif
lewis_e_m_019_022,mcai190221.tif|mcai190222.tif
lewis_e_m_019_023,mcai190231.tif|mcai190232.tif
lewis_e_m_019_024,mcai190241.tif|mcai190242.tif
lewis_e_m_019_025,mcai190251.tif|mcai190252.tif
lewis_e_m_020_001,mcai200011.tif|mcai200012.tif
lewis_e_m_020_002-003,mcai200021.tif|mcai200031.tif
lewis_e_m_020_004,mcai200041.tif|mcai200042.tif
lewis_e_m_020_005,mcai200051.tif|mcai200052.tif
lewis_e_m_020_006,mcai200061.tif|mcai200062.tif
lewis_e_m_020_007,mcai200071.tif|mcai200072.tif
lewis_e_m_020_008,mcai200081.tif|mcai200082.tif
lewis_e_m_020_009,mcai200091.tif|mcai200092.tif
lewis_e_m_020_010,mcai200101.tif|mcai200102.tif
lewis_e_m_020_011,mcai200111.tif|mcai200112.tif
lewis_e_m_020_012,mcai200121.tif|mcai200122.tif
lewis_e_m_020_013,mcai200131.tif|mcai200132.tif
lewis_e_m_020_014,mcai200141.tif|mcai200142.tif
lewis_e_m_020_015,mcai200151.tif|mcai200152.tif
lewis_e_m_020_016,mcai200161.tif|mcai200162.tif
lewis_e_m_020_017,mcai200171.tif|mcai200172.tif
lewis_e_m_020_018,mcai200181.tif|mcai200182.tif
lewis_e_m_020_019,mcai200191.tif|mcai200192.tif
lewis_e_m_020_020,mcai200201.tif|mcai200202.tif
lewis_e_m_020_021,mcai200211.tif|mcai200212.tif
lewis_e_m_020_022,mcai200221.tif|mcai200222.tif
lewis_e_m_021_001,mcai210011.tif|mcai210012.tif
lewis_e_m_021_002-003,mcai210021.tif|mcai210022.tif|mcai210031.tif|mcai210032.tif
lewis_e_m_021_004-028,mcai210041.tif|mcai210042.tif|mcai210051.tif|mcai210052.tif|mcai210061.tif|mcai210062.tif|mcai210071.tif|mcai210072.tif|mcai210081.tif|mcai210082.tif|mcai210091.tif|mcai210092.tif|mcai210101.tif|mcai210102.tif|mcai210111.tif|mcai210112.tif|mcai210121.tif|mcai210122.tif|mcai210131.tif|mcai210132.tif|mcai210141.tif|mcai210142.tif|mcai210151.tif|mcai210152.tif|mcai210161.tif|mcai210162.tif|mcai210171.tif|mcai210172.tif|mcai210181.tif|mcai210182.tif|mcai210191.tif|mcai210192.tif|mcai210201.tif|mcai210202.tif|mcai210211.tif|mcai210212.tif|mcai210221.tif|mcai210222.tif|mcai210231.tif|mcai210232.tif|mcai210241.tif|mcai210242.tif|mcai210251.tif|mcai210252.tif|mcai210261.tif|mcai210262.tif|mcai210271.tif|mcai210272.tif|mcai210281.tif|mcai210282.tif
lewis_e_m_021_029,mcai210291.tif|mcai210292.tif
lewis_e_m_022_001,mcai220011.tif|mcai220012.tif
lewis_e_m_022_002-004,mcai220021.tif|mcai220022.tif|mcai220033.tif|mcai220034.tif|mcai220035.tif|mcai220036.tif|mcai220041.tif|mcai220042.tif
lewis_e_m_022_005,mcai220053.tif|mcai220054.tif|mcai220055.tif|mcai220056.tif|mcai220057.tif|mcai220058.tif
lewis_e_m_022_006,mcai220061.tif|mcai220062.tif
